target,ids,date,flag,user,text
4,1826312417,Sun May 17 08:12:30 PDT 2009,NO_QUERY,rattgirl,"['...', 'interest', 'differ', 'light', 'babi', 'versu', 'adult']"
0,2072497177,Sun Jun 07 21:08:26 PDT 2009,NO_QUERY,aaronjuly,"['pack', 'suitcas', 'countri', 'side', 'getaway', 'come', 'end']"
4,2048071376,Fri Jun 05 14:37:06 PDT 2009,NO_QUERY,_Esme,"['gave', 'repli', ""esme'"", 'turn', '(:', ""i'm"", 'come', '4', 'date']"
4,1574068185,Tue Apr 21 04:07:02 PDT 2009,NO_QUERY,hi_imchloe,['kmart']
0,2262614338,Sat Jun 20 22:52:09 PDT 2009,NO_QUERY,lnugen1,"['wish', 'babi', 'bird', 'patio', 'would', 'stop', 'fall', 'nest']"
4,2051272010,Fri Jun 05 21:26:17 PDT 2009,NO_QUERY,falcon124,"['offic', 'yarra', 'valley', 'damp', 'fam', 'polici', 'train', 'review', 'drug', 'booz', 'fatigu', 'aviat']"
0,2215746997,Wed Jun 17 18:33:24 PDT 2009,NO_QUERY,pinochle63,"['chilll', 'home', '...', 'never', 'found', ""m'"", 'miss']"
0,2323229723,Thu Jun 25 00:10:55 PDT 2009,NO_QUERY,hurtmatters,"[""can't"", 'sang', 'antibiot', 'shit', 'ill', 'ill', 'illl']"
4,2184413776,Mon Jun 15 15:52:32 PDT 2009,NO_QUERY,conster109,"['smile', 'insid']"
4,1965721661,Fri May 29 16:25:23 PDT 2009,NO_QUERY,4mat_scenemusic,"['thank', 'followfriday']"
4,1977657227,Sat May 30 21:25:16 PDT 2009,NO_QUERY,janetbautista,"['made', 'sushi', 'today', 'dinner', 'follow', 'awesom', 'capella', 'perform', 'hope', 'bowl']"
4,1551648476,Sat Apr 18 09:36:40 PDT 2009,NO_QUERY,Fritholf,"['head', 'store', 'ingredi', 'celtic', 'potato', 'leek', 'stew', 'game', 'today']"
4,1880562540,Fri May 22 01:41:11 PDT 2009,NO_QUERY,da_kar,"['cool', 'except', 'need', ""janer'"", 'haircut', 'though']"
4,1932479959,Tue May 26 21:33:08 PDT 2009,NO_QUERY,Katester3,"['final', 'song', 'night', 'merrimack', 'river', 'mandi', 'moor', 'bluesgrassi', 'beauti', 'make', 'imagin', 'starlit', 'cafe']"
4,2061459471,Sat Jun 06 20:54:59 PDT 2009,NO_QUERY,Nikkifosho,"['play', 'call', 'duti', 'bro']"
0,2202057775,Tue Jun 16 21:10:32 PDT 2009,NO_QUERY,AlexEckel,"['tri', 'call', 'babi', 'answer']"
0,2059819354,Sat Jun 06 17:42:00 PDT 2009,NO_QUERY,DylanCullen,"['embri', 'twitter', 'much', '..', 'told']"
0,2000627648,Mon Jun 01 22:33:19 PDT 2009,NO_QUERY,leymag06,"['smaller', 'ur', 'last', 'place', 'wish', 'saw', 'jayz', 'em', 'concert', 'tonight']"
4,1970044492,Sat May 30 02:13:34 PDT 2009,NO_QUERY,danijanerodgers,['saturday']
4,1836458927,Mon May 18 08:02:07 PDT 2009,NO_QUERY,GameDevGoro,"['busi', 'new', 'comput', 'day', 'engin', 'develop', 'goe', 'though']"
4,2014795310,Wed Jun 03 02:42:48 PDT 2009,NO_QUERY,TheaRauth,"['edit', 'writer', 'know', 'hmph']"
4,1965788850,Fri May 29 16:32:43 PDT 2009,NO_QUERY,stradablog,"['gari', ""love'"", 'thank', 'care', 'enough', 'en', 'entri', 'get', 'gari']"
4,2044193354,Fri Jun 05 09:00:19 PDT 2009,NO_QUERY,Cuttersftbll,"['cool', 'donni', 'hiy', 'anyth', 'go', 'mohegan', 'sun', 'boston', 'hope', 'curiou', 'great', 'show']"
4,1969345000,Fri May 29 23:44:46 PDT 2009,NO_QUERY,BanjoBenji,"['...', 'yo', 'wtc', 'watch', 'arrest', 'develop', 'btw', '...', 'hi']"
0,1989885248,Mon Jun 01 03:08:59 PDT 2009,NO_QUERY,Carols21,"['laundri', 'go', 'new', 'bubbl', 'tea', 'spot', 'manhattan', 'miss', 'babi']"
4,2176302786,Mon Jun 15 03:29:59 PDT 2009,NO_QUERY,chrissylvester,"['noth', 'beat', 'iphoto', 'mobilem', 'account']"
